Category,Company,Use Case,General Contact / Partnerships,Typical Email Pattern,Status,Notes,Follow Up Date
Indian Retail Brokerages,Upstox,Add sentiment dials to stock pages,partnerships@upstox.com,first.last@upstox.com,,,
Indian Retail Brokerages,Groww,UI widgets for millennial investors,partnerships@groww.in,first@groww.in,,,
Indian Retail Brokerages,Dhan,Advanced options/equity data integration,partner@dhan.co,first.last@dhan.co,,,
Indian Retail Brokerages,Angel One,Super-app data integration,partnerships@angelbroking.com,first.last@angelbroking.com,,,
Indian Retail Brokerages,Zerodha,Kite Connect API data feeds,partnerships@zerodha.com,first.last@zerodha.com,,,
Indian Retail Brokerages,Kotak Securities,Legacy broker modernizing platform,partner@kotak.com,first.last@kotak.com,,,
Indian Retail Brokerages,ICICI Direct,Adding alternative data to research,alliances@icicisecurities.com,first.last@icicisecurities.com,,,
Indian Retail Brokerages,HDFC Sky,New discount broking wing,support@hdfcsky.com,first.last@hdfcsec.com,,,
Indian Retail Brokerages,Paytm Money,Retail engagement tools,partnerships@paytmmoney.com,first.last@paytm.com,,,
Indian Retail Brokerages,Motilal Oswal,Wealth management and trading,info@motilaloswal.com,first.last@motilaloswal.com,,,
Indian Retail Brokerages,Fyers,API-first trading platform,support@fyers.in,first@fyers.in,,,
Indian Retail Brokerages,Alice Blue,Discount brokerage integrations,partners@aliceblueindia.com,first@aliceblueindia.com,,,
Stock Screening & Analytics Sites,Tickertape,Premium stock screening filters,support@tickertape.in,first.last@smallcase.com,,,
Stock Screening & Analytics Sites,Screener.in,Fundamental analysis alternative data,support@screener.in,first@screener.in,,,
Stock Screening & Analytics Sites,Trendlyne,Advanced sentiment metrics,contact@trendlyne.com,first.last@trendlyne.com,,,
Stock Screening & Analytics Sites,StockEdge,Retail analytics and learning,info@stockedge.com,first@stockedge.com,,,
Stock Screening & Analytics Sites,Investing.com (India),Localizing global platform data,partnerships@investing.com,first.last@investing.com,,,
Algo-Trading & Strategy Platforms,Streak (Zerodha),Sentiment triggers for retail algos,support@streak.tech,first@streak.tech,,,
Algo-Trading & Strategy Platforms,Tradetron,Data feeds for strategy creators,support@tradetron.tech,first.last@tradetron.tech,,,
Algo-Trading & Strategy Platforms,AlgoTest,Backtesting with sentiment data,support@algotest.in,first@algotest.in,,,
Algo-Trading & Strategy Platforms,QuantInsti,Data for algorithmic learning,support@quantinsti.com,first.last@quantinsti.com,,,
WealthTech & Portfolio Managers,Smallcase,Creation of sentiment-based baskets,publisher-help@smallcase.com,first.last@smallcase.com,,,
WealthTech & Portfolio Managers,Kuvera,Wealth dashboard insights,support@kuvera.in,first@kuvera.in,,,
WealthTech & Portfolio Managers,INDmoney,Super-app wealth tracking,partnerships@indmoney.com,first.last@indmoney.com,,,
WealthTech & Portfolio Managers,ET Money,Mutual fund & stock insights,contact@etmoney.com,first.last@etmoney.com,,,
Global Financial Giants,S&P Global,Expanding Indian market alternative data,data.partnerships@spglobal.com,first.last@spglobal.com,,,
Global Financial Giants,FactSet,Integrating local Indian news sentiment,data.feeds@factset.com,first.last@factset.com,,,
Global Financial Giants,Morningstar,Equity research data enhancement,data.alliances@morningstar.com,first.last@morningstar.com,,,
Global Financial Giants,TradingView,Alternative data indicators,partners@tradingview.com,first.last@tradingview.com,,,
Global Financial Giants,Bloomberg,Terminal alternative data feeds,altdata@bloomberg.net,first.last@bloomberg.net,,,
High-Frequency Trading & Quant Shops,Graviton Research,Alpha generation factors,info@gravitontrading.com,first.last@gravitontrading.com,,,
High-Frequency Trading & Quant Shops,NK Securities,Quantitative trading signals,contact@nksecurities.com,first.last@nksecurities.com,,,
High-Frequency Trading & Quant Shops,Tower Research Capital,India desk algo inputs,info@tower-research.com,first.last@tower-research.com,,,
High-Frequency Trading & Quant Shops,AlphaGrep,HFT sentiment triggers,info@alpha-grep.com,first.last@alpha-grep.com,,,
High-Frequency Trading & Quant Shops,Quadeye,Quantitative research data,contact@quadeye.com,first.last@quadeye.com,,,
High-Frequency Trading & Quant Shops,iRageCapital,Algorithmic trading inputs,info@iragecapital.com,first.last@iragecapital.com,,,
High-Frequency Trading & Quant Shops,Estee Advisors,Quant fund data ingestion,info@esteeadvisors.com,first.last@esteeadvisors.com,,,
Financial Media & News Aggregators,Moneycontrol,AI sentiment tags for their news,partnerships@nw18.com,first.last@nw18.com,,,
Financial Media & News Aggregators,ET Markets,Enhancing digital market data,contactus@economictimes.com,first.last@timesgroup.com,,,
Financial Media & News Aggregators,LiveMint,Digital news analytics,feedback@livemint.com,first.last@livemint.com,,,
Financial Media & News Aggregators,BQ Prime,Premium financial insights,support@bqprime.com,first.last@bqprime.com,,,
TV Networks & Broadcasters,CNBC TV18,On-screen 'Market Mood' dials and graphics,feedback@cnbctv18.com,first.last@nw18.com,,,
TV Networks & Broadcasters,ET Now,Real-time ticker sentiment graphics,etnow@timesgroup.com,first.last@timesgroup.com,,,
TV Networks & Broadcasters,NDTV Profit,Broadcast data visualization,profit@ndtv.com,first.last@ndtv.com,,,
TV Networks & Broadcasters,Zee Business,Retail focused on-screen alerts,zeebusiness@zee.com,first.last@zee.com,,,
Alternative Data Marketplaces,Snowflake Data Marketplace,Listing API for enterprise buyers,partners@snowflake.com,first.last@snowflake.com,,,
Alternative Data Marketplaces,Datarade,Alternative data vendor listing,partners@datarade.ai,first@datarade.ai,,,
Alternative Data Marketplaces,Crux Informatics,Data engineering pipeline integration,info@cruxinformatics.com,first.last@cruxinformatics.com,,,
Alternative Data Marketplaces,AWS Data Exchange,Cloud native API listing,aws-data-exchange@amazon.com,first.last@amazon.com,,,
